SR No. ,Scheme Name                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Scheme Address                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Scheme Type       ,Village   ,CTS No                       ,Developer                                                                                                                               ,Architect                                                                            ,No. of Slum Dwellers ,Land Type
     1 ,33 (11)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"CTS No. 128/A/47 (Pt), Plot No. 21, of village Kandivali, Taluka - Borivali, Mahavir nagar, Kandivali (W), Mumbai - 400 067"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,33(11)            ,Kandivali ,"128/A/47 (Pt), Plot No. 21" ,M/s. SANSKRUTI NIRMAN VRUSHI LLP                                                                                                        ,Santosh Zirmute                                                                      ,                  28 ,PRIVATE
     2 ,"SHREE SWAMI SAMARTH CHS (PROP) CTS NO. 838(PT)AT L.T. ROAD,KHUDIRAM BOSE CHOWK, MULUND (E). MUMBAI-400 081."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"SHREE SWAMI SAMARTH CHS (PROP) CTS NO. 838(PT)AT L.T. ROAD,KHUDIRAM BOSE CHOWK, MULUND (E). MUMBAI-400 081."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,33(10) New scheme ,          ,                             ,M/S. SHREEYA DEVELOPERS                                                                                                                 ,SAMER RAUT ASSOCIATES.                                                               ,                     ,PRIVATE
     3 ,"K-ESHAVPADA SLUM MULUND [W]C.T.S. NO.1115 [PT] AND 1480 [PT] OF VILLAGE MULUND AT P. K. ROAD, MULUND [W] Mulund (W)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"K-ESHAVPADA SLUM MULUND [W]C.T.S. NO.1115 [PT] AND 1480 [PT] OF VILLAGE MULUND AT P. K. ROAD, MULUND [W] Mulund (W)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,33(10) New scheme ,          ,                             ,ANNAPPI CONSTRUCTION CO.                                                                                                                ,M/s. Vijay Turbadkar                                                                 ,                     ,MHADA
     4 ,"GAUTAM NAGAR DUMPING ROAD755 [PT] OF VILLAGE MULUND [W] GAUTAM NAGAR, DUMPING ROAD, MULUND [W], MUMBAI - 400 080"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"GAUTAM NAGAR DUMPING ROAD755 [PT] OF VILLAGE MULUND [W] GAUTAM NAGAR, DUMPING ROAD, MULUND [W], MUMBAI - 400 080"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,33(10) New scheme ,          ,                             ,Forward Construction corp                                                                                                               ,M/s. P.S. Chamankar & Associates                                                     ,                     ,MHADA
     5 ,"DHANLAXMI S.R.A. C.H.S. (PROP) C.T.S. NO. 627, 628, 629 OF VILLAGE MULUND, BAL RAJESH-WAR ROAD, MULUND (W) FOR DHANLAXMI S.R.A. C.H.S. (PROP)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"DHANLAXMI S.R.A. C.H.S. (PROP) C.T.S. NO. 627, 628, 629 OF VILLAGE MULUND, BAL RAJESH-WAR ROAD, MULUND (W) FOR DHANLAXMI S.R.A. C.H.S. (PROP)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,33(10) New scheme ,          ,                             ,M/s. Guru Construction                                                                                                                  ,D.S. Desai & Associates                                                              ,                     ,PRIVATE
     6 ,"SALVI WADIC.T.S. No. 1099, 1101, 1101/1 TO 14, 1102(0) PT. AT VILLAGE MULUND(E) MIHTAGHAR ROAD, MULUND (E)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"SALVI WADIC.T.S. No. 1099, 1101, 1101/1 TO 14, 1102(0) PT. AT VILLAGE MULUND(E) MIHTAGHAR ROAD, MULUND (E)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,33(10) New scheme ,          ,                             ,M/S. SHREE SAINATH BUILDERS & DEVELOPERS.                                                                                               ,M.M. KAPHALE                                                                         ,                     ,PRIVATE
     7 ,"HANUMAN CHS (PROP) CTS NO.1(B). S. N. NO.377 OF VILLAGE MULUND, HANUMAN PADA, NEAR HANUMAN MANDIR, MULUND COLONY, MULUND (W), MUMBAI-400 082"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"HANUMAN CHS (PROP) CTS NO.1(B). S. N. NO.377 OF VILLAGE MULUND, HANUMAN PADA, NEAR HANUMAN MANDIR, MULUND COLONY, MULUND (W), MUMBAI-400 082"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,33(10) New scheme ,          ,                             ,HANUMAN CO OP HSG SOC (PROP).                                                                                                           ,M/s. Shah & Associates                                                               ,                     ,STGOVT
     8 ,Dr. Babasaheb Ambedkar Rahiwasi SanghaC.T.S. No. 1320 A/ 32 of Village Mulund New PMGP MHADA Colony Mulund €                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Dr. Babasaheb Ambedkar Rahiwasi SanghaC.T.S. No. 1320 A/ 32 of Village Mulund New PMGP MHADA Colony Mulund €                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,33(10) New scheme ,          ,                             ,M/s. Perfect Developers                                                                                                                 ,Vini Desai of M/s. Desai & Desai Assoicates                                          ,                     ,STGOVT
     9 ,Shree Morya Samarth CHS CTS. NO.1304B OF VILLAGE MULUND (E) SITUATED AT MITHAGAR ROAD MULUND(E)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Shree Morya Samarth CHS CTS. NO.1304B OF VILLAGE MULUND (E) SITUATED AT MITHAGAR ROAD MULUND(E)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,33(10) New scheme ,          ,                             ,SHREE RAM SAMARTH DEVELOPERS.                                                                                                           ,M/s. Manohar M. Kaphale Associates                                                   ,                     ,MCGM
    10 ,"MAHAKALI CHS CT.S. NO.555(PT) OF VILLAGE NAHUR, MULUND(W) MUMBAI-400080"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"MAHAKALI CHS CT.S. NO.555(PT) OF VILLAGE NAHUR, MULUND(W) MUMBAI-400080"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,33(10) New scheme ,          ,                             ,Shivam Developer                                                                                                                        ,STHAPATHYAKALA NITYANAND V. TOTAREPATIL                                              ,                     ,STGOVT
    11 ,"Shri Ganesh CHS (Prop) C.T.S. NO. 681 OF VILLAGE MULUND, LOKMANYA TILAK ROAD, MULUND(E)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"Shri Ganesh CHS (Prop) C.T.S. NO. 681 OF VILLAGE MULUND, LOKMANYA TILAK ROAD, MULUND(E)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,33(10) New scheme ,          ,                             ,M/s. J K Construction                                                                                                                   ,Shri. Samar Raut (M/s. Vision)                                                       ,                     ,MCGM
    12 ,"PROP. S.R.SCHEME ON CTS NO.151 OF VILLAGE HARIYALI, TAGORE NAGAR, GROUP NO.03 NEAR CHAWL NO.342, VIKHROLI (E),MUMBAI-83. FOR ' MAYA SAGAR SAHAKARI GRIHA NIRMAN SANSTHA (LTD). TOTAL PLOT AREA=1404.00 SQ.MT. ARCHITECT ADD= SOMALI PARUI OF M/S.ARCO, A/4, AMEYA CHS, TILAK NAGAR, CHEMBUR,MUMBAI-89."                                                                                                                                                                                                                                                                                                                                                        ,"PROP. S.R.SCHEME ON CTS NO.151 OF VILLAGE HARIYALI, TAGORE NAGAR, GROUP NO.03 NEAR CHAWL NO.342, VIKHROLI (E),MUMBAI-83. FOR ' MAYA SAGAR SAHAKARI GRIHA NIRMAN SANSTHA (LTD). TOTAL PLOT AREA=1404.00 SQ.MT. ARCHITECT ADD= SOMALI PARUI OF M/S.ARCO, A/4, AMEYA CHS, TILAK NAGAR, CHEMBUR,MUMBAI-89."                                                                                                                                                                                                                                                                                                                                                        ,33(10) New scheme ,          ,                             ,M/S.LUXURY BUILDERS & DEVELOPERS PVT. LTD.                                                                                              ,"MISS SOMALI PARUI OF M/S. ARCO A-4/AMEYA CHS, NEW TILAK NAGAR, CHEMBUR, MUMBAI-89." ,                     ,MHADA
    13 ,"NEW PROPOSAL ON PROPERTY BEARING CTS NO.471/A (PT), 472, 473, 474(PT), 475(PT), 476(PT) OF VILL. KANDIVALI, GANESH NAGAR, KANDIVALI (W) MUMBAI-400 067."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"NEW PROPOSAL ON PROPERTY BEARING CTS NO.471/A (PT), 472, 473, 474(PT), 475(PT), 476(PT) OF VILL. KANDIVALI, GANESH NAGAR, KANDIVALI (W) MUMBAI-400 067."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,33(10) New scheme ,          ,                             ,M/S. SHREEYA DEVELOPERS                                                                                                                 ,Shri. Tushar Parulekar of M/s. Griharachna Architects & Interior Designers (New)     ,                     ,MCGM & MHADA & PVT
    14 ,"PROP. S.R.SCHEME UNDER 33(14)D ON CTS NO. 178, 179,262 TO 263, 265 TO 271, 273 TO 282,186 TO 187,138, 141,143 TO 146, 148, 156,157,159 TO 161,195 TO 198,172 (PT), 272 (PT),203,215 OF VILLAGE KANDIVALI, R/SOUTH WARD AT BUNDER PAKAHDI ROAD, KANDIVALI (W),MUMBAI. FOR' GAURAV GARDEN LAYOUT'"                                                                                                                                                                                                                                                                                                                                                               ,"PROP. S.R.SCHEME UNDER 33(14)D ON CTS NO. 178, 179,262 TO 263, 265 TO 271, 273 TO 282,186 TO 187,138, 141,143 TO 146, 148, 156,157,159 TO 161,195 TO 198,172 (PT), 272 (PT),203,215 OF VILLAGE KANDIVALI, R/SOUTH WARD AT BUNDER PAKAHDI ROAD, KANDIVALI (W),MUMBAI. FOR' GAURAV GARDEN LAYOUT'"                                                                                                                                                                                                                                                                                                                                                               ,33(14)D Scheme    ,          ,                             ,M/S.RAVI REAL ESTATE DEVELOPER PVT. LTD.                                                                                                ,M/s. Design Concept                                                                  ,                     ,PRIVATE
    15 ,"PROP. S.R.SCHEME UNDER SEC.33(10) ON CTS NO.136(PT) OF VILLAGE VADHVAN AT BANDONGRI, KANDIVALI (E),MUMBAI. FOR SAI VIJAYA CHS (PROP)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"PROP. S.R.SCHEME UNDER SEC.33(10) ON CTS NO.136(PT) OF VILLAGE VADHVAN AT BANDONGRI, KANDIVALI (E),MUMBAI. FOR SAI VIJAYA CHS (PROP)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,33(10) New scheme ,          ,                             ,M/s. Vijaya Developer                                                                                                                   ,Mr. Rajendra Ahir                                                                    ,                     ,PRIVATE
    16 ,"PROP. S.R.SCHEME ON CTS NO.471/A (PT) OF VILLAGE KANDIVALI , KANDIVALI (W),MUMBAI-67. FOR' ANAND SHEJAR CHS (PROP)'"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"PROP. S.R.SCHEME ON CTS NO.471/A (PT) OF VILLAGE KANDIVALI , KANDIVALI (W),MUMBAI-67. FOR' ANAND SHEJAR CHS (PROP)'"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,33(10) New scheme ,          ,                             ,M/S.R.S.DEVELOPERS                                                                                                                      ,New Anuraddha Raikar                                                                 ,                     ,STGOVT
    17 ,"PROP. S.R.SCHEME ON CTS NO.471/A(PT) OF VILLAGE KANDIVALI, KANDIVALI (W),MUMBAI-67. FOR' JAI SHIVNERI SHEJAR CHS (PROP)'"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"PROP. S.R.SCHEME ON CTS NO.471/A(PT) OF VILLAGE KANDIVALI, KANDIVALI (W),MUMBAI-67. FOR' JAI SHIVNERI SHEJAR CHS (PROP)'"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,33(10) New scheme ,          ,                             ,M/S.R.S.DEVELOPERS                                                                                                                      ,New Anuraddha Raikar                                                                 ,                     ,STGOVT
    18 ,"PROP. S.R.SCHEME ON CTS NO.471/A(PT), 478(PT), 481(PT) & 483/C(PT) OF VILLAGE KANDIVALI AT 90 FEET ROAD, JAGDISH CHETTY MARG, GANESH NAGAR, KANDIVALI(W),UMBAI-67. FOR ' 1)JAYBHARAT SRA CHS LTD 2)PRABHAT CH-WAL SRA CHS (PROP)."                                                                                                                                                                                                                                                                                                                                                                                                                             ,"PROP. S.R.SCHEME ON CTS NO.471/A(PT), 478(PT), 481(PT) & 483/C(PT) OF VILLAGE KANDIVALI AT 90 FEET ROAD, JAGDISH CHETTY MARG, GANESH NAGAR, KANDIVALI(W),UMBAI-67. FOR ' 1)JAYBHARAT SRA CHS LTD 2)PRABHAT CH-WAL SRA CHS (PROP)."                                                                                                                                                                                                                                                                                                                                                                                                                             ,33(10) New scheme ,          ,                             ,M/S. S.B.REALTY                                                                                                                         ,SHRI. SURESH GAIKWAD OF M/S. SKY TECH CONSULTANTS                                    ,                     ,MCGM & STGOVT
    19 ,"PROPOSED SCHEME ON PLOT BEARING C.T.S. NO. 403,404,406,408,& 411 OF VILLAGE POISAR, GAONDEVI ROAD, KANDIVALI(E) MUMBAI. FOR JAI BHAVANI CHS(PROP)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,"PROPOSED SCHEME ON PLOT BEARING C.T.S. NO. 403,404,406,408,& 411 OF VILLAGE POISAR, GAONDEVI ROAD, KANDIVALI(E) MUMBAI. FOR JAI BHAVANI CHS(PROP)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,33(10) New scheme ,          ,                             ,M/S. SAI OM DEVELOPERS                                                                                                                  ,Mr. Rakesh G. Waghmare of M/s. Design World                                          ,                     ,PRIVATE
    20 ,"PROPOSED S.R. SCHME ON PLOT BEARING C.T.S. NO. 455,456,456/1 TO 4,457,458,458/1 & 459, OF VILLAGE POISAR, TALUKA-BORIVALI SITUATED AT GAONDEVI ROAD, POISAR,KANDIVALI (E), MUMBAI 400 101 FOR SHREE SAI SHRADHA CHS(PROP)."                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"PROPOSED S.R. SCHME ON PLOT BEARING C.T.S. NO. 455,456,456/1 TO 4,457,458,458/1 & 459, OF VILLAGE POISAR, TALUKA-BORIVALI SITUATED AT GAONDEVI ROAD, POISAR,KANDIVALI (E), MUMBAI 400 101 FOR SHREE SAI SHRADHA CHS(PROP)."                                                                                                                                                                                                                                                                                                                                                                                                                                    ,33(10) New scheme ,          ,                             ,M/S. RAS BUILDERS & DEVELOPERS.                                                                                                         ,Mr. Rakesh G. Waghmare of M/s. Design World                                          ,                     ,PVT&STGOVT
    21 ,"PROP.S.R.SCHEME ON CTS NO.471A(PT) OF VILLAGE KANDIVALI, TALUKA BORIVALI AT OLD LINK ROAD, KANDIVALI (W),MUMBAI-400 067. FOR ' EKTA SEVA SANGH CHS (PROP)' ."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"PROP.S.R.SCHEME ON CTS NO.471A(PT) OF VILLAGE KANDIVALI, TALUKA BORIVALI AT OLD LINK ROAD, KANDIVALI (W),MUMBAI-400 067. FOR ' EKTA SEVA SANGH CHS (PROP)' ."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,33(10) New scheme ,          ,                             ,M/s. Ruparel Infra & realty Pvt Ltd And M/s. Shree Siddhivinayak Infrastructure & Realty Ltd. And M/s. Skoda Construction Ganesh Nagar. ,Shri. Rahul Veturkar (M/s. Veturkar & Associates)                                    ,                     ,STGOVT
    22 ,"PROP.S.R.SCHEME ON CTS NO.471A(PT) OF VILLAGE KANDIVALI, TALUKA-BORIVALI AT OLD LINK ROAD, KANDIVALI(W),MUMBAI-67. FOR' JAI BAJRANG CHS (PROP)'"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,"PROP.S.R.SCHEME ON CTS NO.471A(PT) OF VILLAGE KANDIVALI, TALUKA-BORIVALI AT OLD LINK ROAD, KANDIVALI(W),MUMBAI-67. FOR' JAI BAJRANG CHS (PROP)'"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,33(10) New scheme ,          ,                             ,M/s. Ruparel Infra & realty Pvt Ltd And M/s. Shree Siddhivinayak Infrastructure & Realty Ltd. And M/s. Skoda Construction Ganesh Nagar. ,Shri. Rahul Veturkar (M/s. Veturkar & Associates)                                    ,                     ,STGOVT
    23 ,"PROPOSED S.R.SCHEME U/S.33[10] OF DCR 1991 ON PLOT BEARING C.T.S.NO.226 OF VILLAGE MALAD [W] , MUMBAI.64 For Panchsheel CHS"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"PROPOSED S.R.SCHEME U/S.33[10] OF DCR 1991 ON PLOT BEARING C.T.S.NO.226 OF VILLAGE MALAD [W] , MUMBAI.64 For Panchsheel CHS"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,33(10) New scheme ,          ,                             ,M/S.GANDHI BUILDERS & DEVELOPERS.                                                                                                       ,M/s. Sanjay Neve & Associates                                                        ,                     ,STGOVT
    24 ,PROPOSED S.R.SCHEME U/S.33[10] OF DCR 1991ON PLOT BEARING PART OF C.T.S.NO.226 OF VILLAGE MALAD & MUMBAI. 64. For Aakash CHS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,PROPOSED S.R.SCHEME U/S.33[10] OF DCR 1991ON PLOT BEARING PART OF C.T.S.NO.226 OF VILLAGE MALAD & MUMBAI. 64. For Aakash CHS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,33(10) New scheme ,          ,                             ,M/S.GANDHI BUILDERS & DEVELOPERS.                                                                                                       ,M/s. Sanjay Neve & Associates                                                        ,                     ,STGOVT
